Arguments;Attacks;PercentageIncomplete;Index;Runtime;PreprocessingTime;GroundingTime;Timeout;NrRelevant;NrReachable;StabilityTime;StabilityStatus
200;300;40;8;;;;1;;106;0,009746074676513672;Unstable
150;225;10;19;0,23145365715026855;1,430511474609375e-06;0,14149212837219238;0;0;0;0,0056345462799072266;is_in(a0)
50;75;20;21;0,09145855903625488;2,384185791015625e-07;0,055532217025756836;0;2;10;0,0033915042877197266;Unstable
250;375;10;18;0,5943224430084229;2,384185791015625e-07;0,3010857105255127;0;0;0;0,007995843887329102;is_in(a0)
50;75;30;24;0,09915781021118164;2,384185791015625e-07;0,06882405281066895;0;0;0;0,0033402442932128906;is_out(a0)
250;375;40;10;2,6267356872558594;2,384185791015625e-07;1,141355276107788;0;0;0;0,012946128845214844;is_in(a0)
150;225;40;16;3,018904447555542;4,76837158203125e-07;0,44237589836120605;0;2;1;0,00844120979309082;Unstable
250;375;20;23;3,606706380844116;1,9073486328125e-06;0,5747833251953125;0;4;55;0,009248733520507812;Unstable
100;150;30;9;0,9750964641571045;4,76837158203125e-07;0,17096161842346191;0;4;50;0,005376577377319336;Unstable
150;225;30;23;;;;1;;71;0,0071370601654052734;Unstable
150;225;10;3;0,24916529655456543;2,384185791015625e-07;0,1402266025543213;0;0;31;0,005459785461425781;is_out(a0)
50;75;10;9;0,05071258544921875;2,384185791015625e-07;0,035892486572265625;0;0;10;0,00342559814453125;is_out(a0)
250;375;40;8;4,607530832290649;4,76837158203125e-07;1,138833999633789;0;0;162;0,011898517608642578;is_out(a0)
150;225;40;8;0,8989875316619873;2,384185791015625e-07;0,43401312828063965;0;0;0;0,007647037506103516;is_in(a0)
150;225;40;10;0,946042537689209;2,384185791015625e-07;0,43113255500793457;0;0;0;0,007475376129150391;is_out(a0)
100;150;10;5;0,12436318397521973;2,384185791015625e-07;0,08133935928344727;0;0;1;0,003624439239501953;is_in(a0)
100;150;30;3;1,7470576763153076;4,76837158203125e-07;0,1729905605316162;0;14;41;0,005312204360961914;Unstable
200;300;30;0;1,135155200958252;2,384185791015625e-07;0,5491836071014404;0;0;0;0,00871586799621582;is_in(a0)
50;75;40;9;0,8395042419433594;2,384185791015625e-07;0,08651471138000488;0;48;25;0,0038194656372070312;Unstable
200;300;40;10;;;;1;;141;0,009914636611938477;Unstable
50;75;40;12;0,3603677749633789;2,384185791015625e-07;0,08754444122314453;0;31;22;0,005964994430541992;Unstable
200;300;30;2;10,605879068374634;4,76837158203125e-07;0,5550129413604736;0;6;78;0,009492158889770508;Unstable
200;300;30;10;1,2707912921905518;4,76837158203125e-07;0,561692476272583;0;0;0;0,008736133575439453;is_in(a0)
200;300;10;7;0,3973398208618164;2,384185791015625e-07;0,21309900283813477;0;0;0;0,006499052047729492;is_in(a0)
50;75;40;18;0,5231425762176514;2,384185791015625e-07;0,0894775390625;0;23;21;0,003732442855834961;Unstable
150;225;40;19;0,9097034931182861;1,430511474609375e-06;0,43740034103393555;0;0;0;0,007812976837158203;is_in(a0)
150;225;20;23;1,1428673267364502;4,76837158203125e-07;0,2385692596435547;0;2;48;0,006632566452026367;Unstable
250;375;10;1;0,6695222854614258;1,9073486328125e-06;0,3012418746948242;0;0;47;0,0074498653411865234;is_out(a0)
100;150;30;21;0,30637502670288086;1,430511474609375e-06;0,17731547355651855;0;0;0;0,004957675933837891;is_in(a0)
200;300;10;4;0,39247894287109375;2,384185791015625e-07;0,20650267601013184;0;0;36;0,006634235382080078;is_out(a0)
